Nb_FPGA,Module,REG%,REG,LUT%,LUT,RAMLUT%,RAMLUT,LUT6%,LUT6,MUXCY%,MUXCY,BRAM%,BRAM,URAM%,URAM,DSP%,DSP,IOs,Path
1,socket_lvds_sys_slave_SIZE_7_...(10)*, 3%,18, 9%,87, 0%,0, 2%,2, 6%,12, 0%,0, 0%,0, 0%,0,63,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.socket_lvds_sys_slave_0.u_xst_wrapper_0.socket_lvds_gp_out_0
1,socket_lvds_gp_out_SIZE_7_MUX...(11)*, 3%,18, 9%,87, 0%,0, 2%,2, 6%,12, 0%,0, 0%,0, 0%,0,63,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.socket_lvds_sys_slave_0.u_xst_wrapper_0.socket_lvds_gp_out_0.u_xst_wrapper_0
1,sysclk_mxfx_xclk2_xclk_width_...(12)*, 5%,36, 4%,39, 0%,0, 7%,11, 3%,6, 0%,0, 0%,0, 0%,0,135,design.zkprctrl.wrapper.sysclk_mxfx.u_xst_wrapper_0
1,sysclk_mxfx_xclk2_10b7bb1f, 5%,36, 4%,39, 0%,0, 7%,11, 3%,6, 0%,0, 0%,0, 0%,0,135,design.zkprctrl.wrapper.sysclk_mxfx
1,socket_lvds_sys_slave_SIZE_4_...(13)*, 5%,38, 4%,39, 0%,0, 8%,13, 0%,0, 0%,0, 0%,0, 0%,0,3,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.socket_lvds_sys_slave_0.u_xst_wrapper_0.socket_lvds_sys_slave_reset_0
1,fib_bridge_rx_SIZE_7_MUX_6_MU...(14)*, 2%,16, 4%,36, 0%,0, 8%,13, 0%,0, 0%,0, 0%,0, 0%,0,16,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.fib_arbiter_0
1,fib_arbiter_NB_PORTS_6_a3e35fc, 2%,16, 4%,36, 0%,0, 8%,13, 0%,0, 0%,0, 0%,0, 0%,0,16,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.fib_arbiter_0.u_xst_wrapper_0
1,sysclk_mxfx_xclk_width_1_DEVI...(15)*, 1%,7, 3%,27, 0%,0, 7%,11, 3%,6, 0%,0, 0%,0, 0%,0,122,design.zkprctrl.wrapper.sysclk_mxfx.u_xst_wrapper_0.sysclk_registers_dut_0
1,socket_lvds_sys_slave_SIZE_7_...(16)*, 3%,21, 3%,23, 0%,0, 8%,12, 0%,0, 0%,0, 0%,0, 0%,0,54,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.socket_lvds_sys_slave_0.u_xst_wrapper_0.socket_lvds_gp_in_0
1,socket_lvds_gp_in_SIZE_7_MUX_...(17)*, 3%,21, 3%,23, 0%,0, 8%,12, 0%,0, 0%,0, 0%,0, 0%,0,54,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.socket_lvds_sys_slave_0.u_xst_wrapper_0.socket_lvds_gp_in_0.u_xst_wrapper_0
1,fib_bridge_rx_SIZE_7_MUX_6_MU...(18)*, 8%,68, 4%,35, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0,102,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.fib_bridge_rx_sfib_0
1,srb_idcode_22ea7b2, 0%,0, 5%,43, 0%,0, 4%,5, 3%,6, 0%,0, 0%,0, 0%,0,147,design.zkprctrl.wrapper.srb_idcode
